User,Brand,Variety,Type,Date,Strength,Taste,Price,Rating
Malboroman,Marlboro,Medium,Regular,2007-06-24,Medium,Very Poor,Fair,1
Joe Camel,Camel,Reds,Regular,2007-06-24,Strong,Pleasant,Fair,4
randiskop01,Marlboro,Menthol Lights,Regular,2007-06-24,Weak,Poor,Fair,2
Joe Camel,Camel,Wides Filters,Regular,2007-06-24,Strong,Pleasant,Fair,5
Stewie,Marlboro,Lights,Regular,2007-06-24,Medium,Pleasant,Fair,4
Stewie,Camel,Turkish Royal,Regular,2007-06-24,Very Strong,Pleasant,Fair,4
Malboroman,Marlboro,Reds,Regular,2007-06-24,Strong,Pleasant,Low,4
ClassySmoke,Marlboro,Ultra Lights,Regular,2007-06-25,Weak,Pleasant,Fair,3
ClassySmoke,Parliament,Full Flavor,Regular,2007-06-25,Medium,Tolerable,Fair,3
SmokingDude,American Spirit,Ultra Lights,Regular,2007-06-25,Very Weak,Tolerable,High,2
SmokingDude,KOOL,Menthol,Regular,2007-06-25,Medium,Very Poor,Fair,2
SmokingDude,Camel,Signature Blend Frost,Regular,2007-06-25,Very Weak,Very Poor,Fair,1
God S Patton,Marlboro,Lights,Regular,2007-06-28,Weak,Tolerable,Low,3
Odemination,American Spirit,Menthol Lights,Regular,2007-06-28,Very Weak,Very Poor,Very High,1
raytheon,Marlboro,Blend No. 27,Regular,2007-06-28,Weak,Pleasant,Fair,4
Tikal,Marlboro,Lights,Regular,2007-06-28,Medium,Pleasant,Fair,4
Tikal,Marlboro,Menthol Milds,Regular,2007-06-28,Medium,Pleasant,Low,4
ciggic,Dunhill,Full Flavor (Red),Regular,2007-06-28,Weak,Tolerable,Low,4
The Gowrie Fan Club,Winston,Lights,Regular,2007-06-28,Medium,Pleasant,Fair,4
raytheon,Lucky Strike,Filters,Regular,2007-06-28,Medium,Pleasant,High,5
Odemination,Camel,No. 9 Menthol,Regular,2007-06-28,Medium,Pleasant,Fair,4
Trophy Husband,Camel,No. 9,Regular,2007-06-28,Strong,Very Pleasant,Low,5
Tikal,Benson and Hedges,Full Flavor,100s,2007-06-28,Very Strong,Poor,Very High,1
Listos,Benson and Hedges,Full Flavor,100s,2007-06-30,Strong,Pleasant,Fair,4
Domonick,Sonoma,Full Flavor,Regular,2007-06-30,Strong,Poor,Low,2
Nibbles,Camel,Lights,Regular,2007-06-30,Medium,Pleasant,Fair,3
AddictiousMaximus,Camel,Lights,Regular,2007-06-30,Weak,Very Poor,Fair,1
AddictiousMaximus,American Spirit,Ultra Lights,Regular,2007-06-30,Weak,Very Pleasant,Low,5
Bigrigger,KOOL,Menthol,Regular,2007-06-30,Medium,Tolerable,Low,4
Freed Turkey,Marlboro,Smooth Menthol,Regular,2007-06-30,Medium,Tolerable,High,2
Cigarette Dromidary,Marlboro,Reds,Regular,2007-06-30,Strong,Pleasant,Low,5
Eminent,L&M,Full Flavor,Regular,2007-06-30,Medium,Pleasant,Low,4
Eminent,Camel,Filters Full Flavor,Regular,2007-06-30,Strong,Very Poor,Very High,1
Sotaka,Camel,Lights,Regular,2007-06-30,Strong,Pleasant,Low,3
Cigarette Dromidary,American Spirit,Full Flavor,Regular,2007-06-30,Very Weak,Poor,High,2
Eminent,Camel,Reds,Regular,2007-06-30,Very Strong,Tolerable,Low,2
Eminent,Marlboro,Reds,Regular,2007-06-30,Very Strong,Poor,High,2
Sotaka,Benson and Hedges,Full Flavor,100s,2007-06-30,Medium,Pleasant,High,5
Teen Smoker,Marlboro,Reds,Regular,2007-06-30,Very Strong,Tolerable,Low,4
Closet Lush,Winston,Lights,Regular,2007-06-30,Medium,Tolerable,Low,3
ImTheKing,American Spirit,Full Flavor,Regular,2007-07-01,Medium,Very Pleasant,Fair,5
longgshark,American Spirit,Menthol,Regular,2007-07-01,Strong,Tolerable,High,3
ImTheKing,Camel,Full Flavor,Unfiltered,2007-07-01,Medium,Poor,Fair,1
slowmotion,American Spirit,Perique,Regular,2007-07-01,Medium,Pleasant,High,2
ImTheKing,Newport,Full Flavor,Regular,2007-07-01,Medium,Very Pleasant,Fair,4
illogic,Newport,Full Flavor,Regular,2007-07-01,Medium,Poor,High,2
illogic,Camel,Menthol (Silver),Regular,2007-07-01,Medium,Pleasant,Low,4
Goose,Marlboro,Blend No. 27,Regular,2007-07-02,Medium,Pleasant,Fair,4
dyaz4ever,Marlboro,Reds,Regular,2007-07-02,Strong,Poor,Low,2
Karawasa,Camel,No. 9 Menthol,Regular,2007-07-03,Weak,Pleasant,Fair,3
Bootes,Marlboro,Ultra Lights,Regular,2007-07-03,Weak,Pleasant,Fair,4
CaliSunbug,Marlboro,Reds,Regular,2007-07-03,Very Strong,Very Poor,Fair,1
PaulieJ313,Camel,Turkish Silver,Regular,2007-07-03,Medium,Pleasant,Fair,4
Bootes,Djarum,Black,Regular,2007-07-03,Strong,Pleasant,Very High,4
Karawasa,Camel,Signature Blend Frost,Regular,2007-07-05,Medium,Pleasant,Fair,4
Jacki,Benson and Hedges,Full Flavor,100s,2007-07-05,Strong,Pleasant,Fair,4
Jacki,Virginia Slims,Full Flavor,100s,2007-07-06,Medium,Pleasant,Fair,3
Optical Star,American Spirit,Lights,Regular,2007-07-07,Weak,Very Pleasant,Very High,5
Blackasslungs,Camel,Filters Full Flavor,Regular,2007-07-08,Strong,Very Pleasant,High,5
950,Camel,Turkish Silver,Regular,2007-07-08,Medium,Very Pleasant,Fair,4
kalku2k,Marlboro,Medium,Regular,2007-07-08,Medium,Very Poor,Fair,1
Blackasslungs,Marlboro,Menthol Lights,Regular,2007-07-08,Medium,Pleasant,Fair,4
Ness,Camel,No. 9 Menthol,Regular,2007-07-10,Medium,Very Pleasant,Fair,5
mxmsky,Dunhill,Full Flavor (Red),Regular,2007-07-11,Strong,Tolerable,Very High,3
Flava,Marlboro,Reds,Regular,2007-07-11,Very Strong,Tolerable,High,2
mxmsky,Marlboro,Menthol,Regular,2007-07-11,Strong,Tolerable,Very High,3
frank725nyc,Marlboro,Blend No. 27,Regular,2007-07-12,Medium,Very Pleasant,High,5
thomw,Parliament,Lights (White),Regular,2007-07-12,Weak,Poor,High,2
thomw,Winston,Full Flavor,Regular,2007-07-12,Medium,Tolerable,Fair,3
thomw,Camel,Lights,Regular,2007-07-12,Medium,Tolerable,Fair,3
thomw,Camel,Turkish Royal,Regular,2007-07-12,Medium,Very Pleasant,Fair,5
thomw,Marlboro,Lights,Regular,2007-07-12,Medium,Tolerable,High,2
thomw,Camel,Turkish Gold,Regular,2007-07-12,Weak,Tolerable,Fair,2
thomw,American Spirit,Full Flavor,Regular,2007-07-12,Very Strong,Very Pleasant,High,5
thomw,Camel,Menthol (Silver),Regular,2007-07-12,Strong,Pleasant,Fair,4
ghanta,KOOL,none,none,none,none,none,none,1
ghanta,KOOL,none,none,none,none,none,none,5
ghanta,KOOL,none,none,none,none,none,none,3
ghanta,KOOL,none,none,none,none,none,none,2
ghanta,KOOL,none,none,none,none,none,none,4
ghanta,KOOL,none,none,none,none,none,none,2
